circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,ZEHRA GULSHAN BAGH,NON-DOMESTIC AND COMMERCIAL,2,147,137.0,24313,453.48
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,BABA SAILANI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,36,34.0,5701,34.66
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,BANJARA NAGAR (SOUTH),NON-DOMESTIC AND COMMERCIAL,2,65,62.0,8033,73.98
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,BHARAT NAGAR,NON-DOMESTIC AND COMMERCIAL,2,14,12.0,857,9.7
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,BRAHMA SHANKAR NAGAR,NON-DOMESTIC AND COMMERCIAL,2,39,37.0,1577,32.71
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,GANGA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,47,44.0,4934,81.9
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,GRC HV MOTINAGAR,NON-DOMESTIC AND COMMERCIAL,2,153,127.0,256938,2208.06
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,H.F.NAGAR EAST(PHASE-I),NON-DOMESTIC AND COMMERCIAL,2,50,46.0,7944,68.38
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,H.F.NAGAR WEST(PHASE-I),NON-DOMESTIC AND COMMERCIAL,2,47,47.0,4605,71.64
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,H.F.NAGAR-II,NON-DOMESTIC AND COMMERCIAL,2,82,80.0,7867,90.04
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,INDIRA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,35,32.0,1583,36.16
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,INDIRA NAGAR PHASE-II,NON-DOMESTIC AND COMMERCIAL,2,37,37.0,4183,38.78
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,KALYAN NAGAR,NON-DOMESTIC AND COMMERCIAL,2,162,147.0,28967,396.13
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,KALYAN NAGAR (W),NON-DOMESTIC AND COMMERCIAL,2,68,58.0,8496,178.5
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,KARMIKA NAGAR (E),NON-DOMESTIC AND COMMERCIAL,2,40,39.0,2349,51.3
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,KARMIKA NAGAR (S),NON-DOMESTIC AND COMMERCIAL,2,84,78.0,6639,104.98
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,MADHURA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,28,28.0,1407,29.36
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,JP NAGAR & ENGINEERS COLONY,NON-DOMESTIC AND COMMERCIAL,2,235,189.0,50223,697.91
